at,name,state,sync,byte_lag,replay_s
22106.393190958,pg_basebackup,backup,async,-1.0,-1.0
22106.646556791,follower1,streaming,async,176.0,0.000175
22106.646556791,pg_basebackup,backup,async,-1.0,-1.0
22106.896985625,follower1,streaming,async,176.0,0.000176
22106.896985625,pg_basebackup,backup,async,-1.0,-1.0
22107.15218075,follower1,streaming,async,176.0,0.000163
22107.15218075,pg_basebackup,backup,async,-1.0,-1.0
22107.404696541,follower1,streaming,async,176.0,0.000172
22107.404696541,pg_basebackup,backup,async,-1.0,-1.0
22107.655032291,follower1,streaming,async,176.0,-1.0
22107.655032291,pg_basebackup,backup,async,-1.0,-1.0
22107.905720333,follower1,streaming,async,280.0,0.000149
22107.905720333,pg_basebackup,backup,async,-1.0,-1.0
22108.158284583,follower1,streaming,async,176.0,0.000312
22108.158284583,pg_basebackup,backup,async,-1.0,-1.0
22108.412896708,follower1,streaming,async,176.0,5.2e-05
22108.412896708,pg_basebackup,backup,async,-1.0,-1.0
22108.6634945,follower1,streaming,async,176.0,0.000154
22108.6634945,pg_basebackup,backup,async,-1.0,-1.0
22108.914194916,follower1,streaming,async,176.0,3.8e-05
22108.914194916,pg_basebackup,backup,async,-1.0,-1.0
22109.1673155,follower1,streaming,async,176.0,0.000129
22109.1673155,pg_basebackup,backup,async,-1.0,-1.0
22109.418979416,follower1,streaming,async,176.0,5.2e-05
22109.418979416,pg_basebackup,backup,async,-1.0,-1.0
22109.673941833,follower1,streaming,async,176.0,0.000217
22109.673941833,pg_basebackup,backup,async,-1.0,-1.0
22109.928178208,follower1,streaming,async,0.0,0.000374
22109.928178208,pg_basebackup,backup,async,-1.0,-1.0
22110.178741166,follower1,streaming,async,176.0,3.8e-05
22110.178741166,pg_basebackup,backup,async,-1.0,-1.0
22110.42911725,follower1,streaming,async,176.0,0.00016
22110.42911725,pg_basebackup,backup,async,-1.0,-1.0
22110.682355625,follower1,streaming,async,176.0,0.000176
22110.682355625,pg_basebackup,backup,async,-1.0,-1.0
22110.934658208,follower1,streaming,async,176.0,3.3e-05
22110.934658208,pg_basebackup,backup,async,-1.0,-1.0
22111.189121,follower1,streaming,async,352.0,4.2e-05
22111.189121,pg_basebackup,backup,async,-1.0,-1.0
22111.443285208,follower1,streaming,async,176.0,5.6e-05
22111.443285208,pg_basebackup,backup,async,-1.0,-1.0
